ID	allele_type
MTBC_1268	accessory
MTBC_1269	core
MTBC_1270	accessory
MTBC_1271	core
MTBC_1272	core
MTBC_1273	core
MTBC_1274	core
MTBC_1275	core
MTBC_1276	core
MTBC_1277	core
MTBC_1278	core
MTBC_1279	core
MTBC_1280	core
MTBC_1281	core
MTBC_1282	core
MTBC_1283	core
MTBC_1284	core
MTBC_1285	accessory
MTBC_1286	accessory
MTBC_1287	core
MTBC_1288	accessory
MTBC_1289	accessory
MTBC_1290	core
MTBC_1291	core
MTBC_1292	core
MTBC_1293	accessory
MTBC_1294	core
MTBC_1295	core
MTBC_1296	accessory
MTBC_1297	core
MTBC_1298	accessory
MTBC_1299	core
MTBC_1300	core
MTBC_1301	accessory
MTBC_1302	core
MTBC_1303	accessory
MTBC_1304	core
MTBC_1305	accessory
MTBC_1306	core
MTBC_1307	core
MTBC_1308	core
MTBC_1309	core
MTBC_1310	core
MTBC_1311	core
MTBC_1312	core
MTBC_1313	core
MTBC_1314	core
MTBC_1315	core
MTBC_1316	core
MTBC_1317	core
MTBC_1318	core
MTBC_1319	core
MTBC_1320	accessory
MTBC_1321	accessory
MTBC_1322	core
MTBC_1323	core
MTBC_1324	core
MTBC_1325	core
MTBC_1326	core
MTBC_1327	core
MTBC_1328	accessory
MTBC_1329	core
MTBC_1330	core
MTBC_1331	core
MTBC_1332	accessory
MTBC_1333	core
MTBC_1334	core
MTBC_1335	core
MTBC_1336	accessory
MTBC_1337	core
MTBC_1338	core
MTBC_1339	core
MTBC_1340	core
MTBC_1341	accessory
MTBC_1342	core
MTBC_1343	accessory
MTBC_1344	core
MTBC_1345	core
MTBC_1346	accessory
MTBC_1347	core
MTBC_1348	core
MTBC_1349	core
MTBC_1350	core
MTBC_1351	core
MTBC_1352	core
MTBC_1353	accessory
MTBC_1354	core
MTBC_1355	core
MTBC_1356	core
MTBC_1357	core
MTBC_1358	core
MTBC_1359	core
MTBC_1360	core
MTBC_1361	accessory
MTBC_1362	core
MTBC_1363	core
MTBC_1364	accessory
MTBC_1365	core
MTBC_1366	core
MTBC_1367	core
MTBC_1368	core
MTBC_1369	core
MTBC_1370	core
MTBC_1371	core
MTBC_1372	core
MTBC_1373	core
MTBC_1374	core
MTBC_1375	core
MTBC_1376	core
MTBC_1377	core
MTBC_1378	accessory
MTBC_1379	core
MTBC_1380	accessory
MTBC_1381	core
MTBC_1382	core
MTBC_1383	accessory
MTBC_1384	accessory
MTBC_1385	core
MTBC_1386	core
MTBC_1387	core
MTBC_1388	core
MTBC_1389	accessory
MTBC_1390	core
MTBC_1391	core
MTBC_1392	core
MTBC_1393	core
MTBC_1394	core
MTBC_1395	core
MTBC_1396	core
MTBC_1397	core
MTBC_1398	core
MTBC_1399	core
MTBC_1400	core
MTBC_1401	core
MTBC_1402	core
MTBC_1403	core
MTBC_1404	core
MTBC_1405	core
MTBC_1406	core
MTBC_1407	core
MTBC_1408	core
MTBC_1409	core
MTBC_1410	core
MTBC_1411	core
MTBC_1412	accessory
MTBC_1413	core
MTBC_1414	core
MTBC_1415	core
MTBC_1416	core
MTBC_1417	core
MTBC_1418	core
MTBC_1419	core
MTBC_1420	core
MTBC_1421	core
MTBC_1422	core
MTBC_1423	core
MTBC_1424	core
MTBC_1425	core
MTBC_1426	core
MTBC_1427	core
MTBC_1428	core
MTBC_1429	core
MTBC_1430	core
MTBC_1431	core
MTBC_1432	accessory
MTBC_1433	core
MTBC_1434	core
MTBC_1435	core
MTBC_1436	core
MTBC_1437	core
MTBC_1438	core
MTBC_1439	core
MTBC_1440	accessory
MTBC_1441	core
MTBC_1442	core
